sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL,class
repeat4,ORF3a,549517,84|85,11004,7,2,4,2002.48581936501,1.30357099217067,0.363897998372512,0.715824797598273,2.38329378814146,1.27384594107189,0.363955983163396,0.727911966326792,2.36571389056208,Lunarscript
repeat4,E,549517,86|87,10348,38,14,261,1883.10825688741,7.3515186689882,2.70845424646934,50.492952045911,60.5529249613685,6.91516368010453,2.54769188214377,47.4962558028232,56.9591113650715,Lunarscript
repeat4,M,549517,87|88,11598,162,69,10,2110.58074636453,31.3027690202739,13.3488102147417,1.93461017604953,46.5861894110651,29.4804346362351,12.5564814191372,1.81977991581698,43.8566959711892,Lunarscript
repeat4,ORF6,549517,89|90,16437,79,33,9,2991.17224762837,7.56083199047401,3.17145965272249,0.923005464976561,11.6552971081731,14.3762613349542,6.00527372219604,1.63780192423528,22.0193369813855,Lunarscript
repeat4,ORF7a,549517,90|91,8307,17,16,3,1511.69117606917,6.46282891182855,5.85018612554389,0.740123232462128,13.0531382698346,3.09362585688887,2.91164786530717,0.545933974745094,6.55120769694113,Lunarscript
repeat4,ORF8,549517,92,3284,0,0,2,597.615724354297,0,0,0.609013398294763,0.609013398294763,0,0,0.363955983163396,0.363955983163396,Lunarscript
repeat4,N,549517,93|94,11053,142,74,20,2011.40274095251,21.9814241486068,11.4551083591331,3.1588990919686,36.5954315997085,25.8408748046011,13.4663713770457,3.63955983163396,42.9468060132807,Lunarscript
repeat4,N*,549517,96,6437,1,0,0,1171.39233181139,0.155351871990057,0,0,0.155351871990057,0.181977991581698,0,0,0.181977991581698,Lunarscript
repeat4,ORF10,549517,97|98,8241,0,0,37,1499.68062862477,0,0,12.9161386823353,12.9161386823353,0,0,6.73318568852283,6.73318568852283,Lunarscript
repeat5,ORF1a,202742,1|2|3,4893,1313,521,42,2413.41211983703,14556.835899088,5778.22202477911,466.666666666667,20801.7245905338,647.621114519932,256.976847421846,20.7159838612621,925.31394580304,Lunarscript
