sample,reads,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
SHEF-C9953,100000,E,117656,86|87,1523,9,1,23,1294.45162167675,19.4805194805195,2.16450216450216,48.5615546878506,70.2065763328723,7.64941864418304,0.849935404909227,19.5485143129122,28.0478683620045
SHEF-C9953,100000,M,117656,87|88|89,2985,85,49,5,2537.05718365404,175.932783462274,96.766831494865,10.8225108225108,283.52212577965,72.2445094172843,41.6468348405521,4.24967702454613,118.141021282383
SHEF-C9953,100000,ORF6,117656,89|90,2243,15,7,2,1906.4051132114,11.6350648495622,5.2710843373494,1.50602409638554,18.4121732832971,12.7490310736384,5.94954783436459,1.69987080981845,20.3984497178214
SHEF-C9953,100000,ORF7a,117656,91,180,1,0,1,152.988372883661,5.55555555555556,0,5.55555555555556,11.1111111111111,0.849935404909227,0,0.849935404909227,1.69987080981845
SHEF-C9953,100000,ORF8,117656,92,497,0,1,0,422.417896239886,0,2.01207243460765,0,2.01207243460765,0,0.849935404909227,0,0.849935404909227
SHEF-C9953,100000,N,117656,93|94,1617,60,32,4,1374.34554973822,51.8582541054451,28.9673443312916,3.45721694036301,84.2828153770997,50.9961242945536,27.1979329570953,3.39974161963691,81.5937988712858
SHEF-C9953,100000,N*,117656,95,432,0,0,1,367.172094920786,0,0,2.31481481481481,2.31481481481481,0,0,0.849935404909227,0.849935404909227
SHEF-C9953,100000,ORF10,117656,97|98,812,0,0,4,690.147548786292,0,0,18.2489451476793,18.2489451476793,0,0,3.39974161963691,3.39974161963691
SHEF-C9953,10000,ORF1a,11772,1|2,91,107,38,4,773.020727149168,20646.511627907,7600,800,29046.511627907,908.936459395175,322.799864084268,33.9789330615019,1265.71525654094
SHEF-C9953,10000,S,11772,71|72,152,3,2,0,1291.19945633707,60.1316088041752,34.4905831631495,0,94.6221919673247,25.4841997961264,16.9894665307509,0,42.4736663268773
SHEF-C9953,10000,ORF3a,11772,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,10000,E,11772,87,49,0,0,3,416.241930003398,0,0,61.2244897959184,61.2244897959184,0,0,25.4841997961264,25.4841997961264
SHEF-C9953,10000,M,11772,87,49,7,4,1,416.241930003398,142.857142857143,81.6326530612245,20.4081632653061,244.897959183673,59.4631328576283,33.9789330615019,8.49473326537547,101.936799184506
SHEF-C9953,10000,ORF6,11772,89|90,219,2,0,1,1860.34658511723,18.9282627484875,0,7.69230769230769,26.6205704407952,16.9894665307509,0,8.49473326537547,25.4841997961264
SHEF-C9953,10000,ORF7a,11772,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,10000,ORF8,11772,92,52,0,1,0,441.726129799524,0,19.2307692307692,0,19.2307692307692,0,8.49473326537547,0,8.49473326537547
SHEF-C9953,10000,N,11772,93|94,145,7,3,1,1231.73632347944,64.8148148148148,45.5455455455456,9.25925925925926,119.61961961962,59.4631328576283,25.4841997961264,8.49473326537547,93.4420659191301
SHEF-C9953,10000,N*,11772,95,56,0,0,1,475.705062861026,0,0,17.8571428571429,17.8571428571429,0,0,8.49473326537547,8.49473326537547
SHEF-C9953,10000,ORF10,11772,,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEF-C9953,200000,ORF1a,235651,1|2|3|4,6731,1915,896,98,2856.3426422973,15239.5693909376,7142.84344741636,795.69284076229,23178.1056791163,812.642424602484,380.223296315314,41.5869230344874,1234.45264395229
SHEF-C9953,200000,S,235651,71|72,3198,37,33,4,1357.09163126827,48.7724881017181,37.6034557355999,5.84795321637427,92.2238970536923,15.7011852273065,14.0037597973274,1.69742542997908,31.402370454613
SHEF-C9953,200000,ORF3a,235651,84|85,4288,0,1,5,1819.64006093757,0,0.517330574236937,2.49395074705391,3.01128132129084,0,0.42435635749477,2.12178178747385,2.54613814496862
SHEF-C9953,200000,E,235651,86|87|88,5322,14,1,39,2258.42453458716,14.8936170212766,1.06382978723404,40.2773663593113,56.234813167822,5.94098900492678,0.42435635749477,16.549897942296,22.9152433047176
SHEF-C9953,200000,M,235651,87|88|89,5883,166,76,8,2496.48845114173,168.965743862062,73.9046646613498,7.87914746437803,250.74955598779,70.4431553441318,32.2510831696025,3.39485085995816,106.089089373692
SHEF-C9953,200000,ORF6,235651,89|90,4409,39,22,4,1870.98718019444,15.5564389786205,8.36501901140684,1.52091254752852,25.4423705375558,16.549897942296,9.33583986488494,1.69742542997908,27.58316323716
