sample,orf,mapped_reads,amplicons,gRNA_count,sgRNA_HQ_count,sgRNA_LQ_count,sgRNA_LLQ_count,gRHPT,sgRPTg_HQ,sgRPTg_LQ,sgRPTg_LLQ,sgRPTg_ALL,sgRPHT_HQ,sgRPHT_LQ,sgRPHT_LLQ,sgRPHT_ALL
CVR2251,N*,486546,95,3181,5,1,2,653.7922416379952,1.5718327569946557,0.31436655139893116,0.6287331027978623,2.5149324111914493,1.0276520616755662,0.20553041233511324,0.4110608246702265,1.644243298680906
CVR2251,ORF10,486546,97|98,6297,0,0,13,1294.2250064742082,0,0,7.117862196528367,7.117862196528367,0,0,2.671895360356472,2.671895360356472
CVR2255,ORF1a,659879,1|4,8087,6103,1531,116,1225.5277103832673,27363.355861301312,6865.470852017937,520.1793721973094,34749.00608551656,924.8665285605391,232.01223254566366,17.57898038882886,1174.4577414950315
CVR2255,S,659879,71,807,63,26,1,122.29514804986975,78.06691449814126,32.2180916976456,1.2391573729863692,111.52416356877322,9.547204866346709,3.940116294047848,0.1515429343864557,13.638864094781013
CVR2255,ORF3a,659879,84|85,8669,5,1,1,1313.7256981961843,1.1263798152737103,0.23640661938534277,0.23640661938534277,1.5991930540443957,0.7577146719322785,0.1515429343864557,0.1515429343864557,1.06080054070519
CVR2255,E,659879,86|87,7967,69,20,147,1207.3425582568925,11.847527472527473,3.4340659340659343,28.189707224646565,43.47130063123997,10.456462472665443,3.030858687729114,22.276811354808988,35.76413251520354
CVR2255,M,659879,87|88|89,17188,1851,527,55,2604.7199562344003,317.76001949798376,90.48763736263737,9.730063225825937,417.97772008644705,280.5059715493295,79.86312642166214,8.334861391255062,368.70395936224674
CVR2255,ORF6,659879,89|90,13877,192,49,5,2102.9613004808457,87.57978787372393,22.44617498854787,2.290426019239579,112.31638888151137,29.096243402199494,7.425603784936329,0.7577146719322785,37.2795618590681
CVR2255,ORF7a,659879,90|91,11940,3,3,3,1809.422636574281,8.215595239585028,0.2565418163160595,0.2565418163160595,8.728678872217145,0.45462880315936705,0.4546288031593671,0.4546288031593671,1.3638864094781011
CVR2255,ORF8,659879,92|93,15698,0,1,4,2378.9209839985815,0,0.3279763857002296,1.0629867901151564,1.390963175815386,0,0.1515429343864557,0.6061717375458228,0.7577146719322785
CVR2255,N,659879,93|94,16149,1746,532,49,2447.2668474068732,138.24128389596015,42.265317416396556,3.8738240177089103,184.3804253300656,264.59396343875164,80.62084109359444,7.425603784936329,352.64040831728244
CVR2255,N*,659879,95,4515,0,0,2,684.2163487548474,0,0,0.44296788482835,0.44296788482835,0,0,0.3030858687729114,0.3030858687729114
CVR2255,ORF10,659879,97|98,8876,0,0,11,1345.0950856141808,0,0,5.754097647928351,5.754097647928351,0,0,1.6669722782510126,1.6669722782510126
CVR2265,ORF1a,1149925,1|2|3,28887,8891,2228,168,2512.0768745787764,24882.88601911878,6240.896358543418,470.5882352941177,31594.370612956318,773.1808596212796,193.7517664195491,14.609648455334044,981.5422744961628
CVR2265,S,1149925,71,2463,181,48,12,214.18788181837945,73.48761672756801,19.488428745432397,4.872107186358099,97.8481526593585,15.740156966758702,4.174185272952584,1.043546318238146,20.95788855794943
CVR2265,ORF3a,1149925,83|84|85,21422,9,4,7,1862.9041024414635,1.0157081063395148,0.49680690886249423,1.0461238187684194,2.5586388339704285,0.7826597386786095,0.34784877274604864,0.6087353523055852,1.7392438637302432
CVR2265,E,1149925,86|87,22470,84,27,211,1954.0404809009283,8.842362296980511,2.8514098637659733,22.225858821440166,33.919630982186646,7.304824227667021,2.3479792160358284,18.349022762354068,28.00182620605692
CVR2265,M,1149925,87|88,22606,1360,352,26,1965.8673391742939,143.5970840228447,37.11496221614033,2.7458020910339003,183.45784833001895,118.26858273365654,30.610692001652282,2.261017022849316,151.14029175815813
CVR2265,ORF6,1149925,89,15844,234,72,20,1377.8289888470988,14.768997727846504,4.54430699318354,1.2623074981065388,20.57561221913658,20.349153205643848,6.261277909428876,1.7392438637302432,28.34967497880297
CVR2265,ORF7a,1149925,90|91,15066,12,5,7,1310.172402547992,7.212159087228809,3.2446463335496434,1.0925521872274888,11.54935760800594,1.043546318238146,0.4348109659325608,0.6087353523055852,2.087092636476292
CVR2265,ORF8,1149925,92,5835,2,0,4,507.4243972432985,0.3427592116538132,0,0.6855184233076264,1.0282776349614395,0.17392438637302432,0,0.34784877274604864,0.521773159119073
CVR2265,N,1149925,93|95,22946,1941,599,88,1995.4344848577082,124.24112531903454,38.31883316274309,5.629477993858751,168.1894364756364,168.79361697502011,52.090353718720785,7.6526730004130705,228.53664369415398
CVR2265,N*,1149925,95,7314,7,7,1,636.04148096615,0.9570686354935739,0.9570686354935739,0.13672409078479628,2.0508613617719442,0.6087353523055852,0.6087353523055852,0.08696219318651216,1.3044328977976825
CVR2265,ORF10,1149925,97|98,11830,0,0,23,1028.762745396439,0,0,7.084985980627145,7.084985980627145,0,0,2.0001304432897795,2.0001304432897795
CVR2267,ORF1a,388232,1|2|3,11832,3404,872,62,3047.662222588556,37822.222222222226,9667.081020998907,688.8888888888889,48178.19213211002,876.7953182633065,224.60796637062376,15.969832471305818,1117.3731171052361
CVR2267,S,388232,71,407,75,16,0,104.83422283583012,184.2751842751843,39.31203931203932,0,223.5872235872236,19.318345731418326,4.121247089369243,0,23.439592820787567
CVR2267,ORF3a,388232,83|84,3061,2,1,2,788.4460837849533,2.247191011235955,1.1235955056179776,0.921234454168586,4.292020971022518,0.5151558861711554,0.2575779430855777,0.5151558861711554,1.2878897154278883
CVR2267,E,388232,87,2627,96,25,53,676.6572564858126,36.54358583936049,9.51655881233346,20.175104682146937,66.23524933384088,24.727482536215458,6.4394485771394425,13.651630983535618,44.81856209689052
CVR2267,M,388232,87,2627,1624,392,28,676.6572564858126,618.1956604491817,149.21964217738866,10.658545869813477,778.0738484963838,418.30657957097816,100.97055368954646,7.212182406396176,526.4893156669208
CVR2267,ORF6,388232,89,584,284,70,10,150.42551876197737,486.30136986301375,119.86301369863014,17.123287671232877,623.2876712328768,73.15213583630407,18.03045601599044,2.575779430855777,93.75837128315028
CVR2267,ORF7a,388232,90|91,6666,8,0,0,1717.0145686084609,75.75460307878056,0,0,75.75460307878056,2.0606235446846215,0,0,2.0606235446846215
CVR2267,ORF8,388232,92,1655,0,0,1,426.2914958066311,0,0,0.6042296072507553,0.6042296072507553,0,0,0.2575779430855777,0.2575779430855777
CVR2267,N,388232,93|94,11959,2351,729,86,3080.3746213604236,265.31994131587857,82.4805588994476,9.705450852048301,357.50595106737444,605.5657441941931,187.77432050938614,22.151703105359683,815.491767808939
CVR2267,N*,388232,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2267,ORF10,388232,97,4606,0,0,2,1186.404005852171,0,0,0.43421623968736434,0.43421623968736434,0,0,0.5151558861711554,0.5151558861711554
CVR2306,ORF1a,695052,1|3,11105,6422,1615,120,1597.722184814949,20983.752731885732,5277.777777777778,392.15686274509807,26653.687372408607,923.9596461847458,232.35671575651892,17.264895288410077,1173.5812572296747
CVR2306,S,695052,71|72,10832,142,51,8,1558.444548033816,137.99805636540333,48.69287450629689,7.774538386783285,194.46546925848352,20.430126091285256,7.337580497574282,1.1509930192273383,28.91869960808688
CVR2306,ORF3a,695052,84|85,7766,6,4,5,1117.3264734149388,1.547179614683344,1.0499145724158154,1.3354700854700854,3.9325642725692447,0.8632447644205038,0.5754965096136692,0.7193706370170865,2.158111911051259
CVR2306,E,695052,86|87,7429,92,30,127,1068.8408924799871,16.31494945912396,5.320092214931726,22.903046520590344,44.53808819464603,13.236419721114391,4.316223822102519,18.272014180234,35.82465772345091
CVR2306,M,695052,87,5639,1002,243,24,811.3062044278702,177.6910799787196,43.092746940946974,4.25607377194538,225.03990069161196,144.16187565822412,34.961412959030405,3.452979057682015,182.57626767493656
CVR2306,ORF6,695052,89,2376,256,80,16,341.8449267105195,107.74410774410775,33.670033670033675,6.734006734006734,148.14814814814815,36.831776615274826,11.509930192273384,2.3019860384546766,50.643692846002885
CVR2306,ORF7a,695052,90|91,9886,7,3,6,1422.3396235101834,9.862750554640817,4.879679661108663,0.6203473945409429,15.362777610290422,1.0071188918239211,0.43162238221025184,0.8632447644205038,2.3019860384546766
CVR2306,ORF8,695052,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2306,N,695052,93,10869,1392,407,47,1563.7678907477425,128.07065967430307,37.44594718925384,4.324224859692704,169.8408317232496,200.27278534555688,58.55676985319084,6.762083987960613,265.59163918670833
CVR2306,N*,695052,95,2549,1,1,2,366.7351507513107,0.39231071008238527,0.39231071008238527,0.7846214201647705,1.569242840329541,0.1438741274034173,0.1438741274034173,0.2877482548068346,0.5754965096136692
CVR2306,ORF10,695052,97|98,5135,0,0,9,738.7936442165478,0,0,8.024830605475767,8.024830605475767,0,0,1.2948671466307555,1.2948671466307555
CVR2307,ORF1a,624405,1|2|3,18011,5416,1333,96,2884.5060497593713,21384.058965571377,5264.912911438913,379.4466403162055,27028.418517326496,867.3857512351759,213.48323604071075,15.374636654094699,1096.2436239299814
CVR2307,S,624405,71,1053,226,53,12,168.64054579960123,214.62488129154798,50.332383665717,11.396011396011398,276.3532763532764,36.19445712318127,8.488080652781449,1.9218295817618374,46.604367357724556
CVR2307,ORF3a,624405,84|85,8208,13,7,9,1314.5314339250967,3.141488499201168,1.4547759091630197,3.453568687643899,8.049833096008086,2.081982046908657,1.1210672560277384,1.441372186321378,4.644421489257773
CVR2307,E,624405,86|87,9819,99,40,131,1572.5370552766235,21.032764438724737,8.359209184118837,27.616703204615003,57.00867682745857,15.855094049535158,6.406098605872791,20.97997293423339,43.24116558964134
CVR2307,M,624405,87|89,10861,1661,434,64,1739.4159239596097,353.78061767838125,92.38795179307873,13.631522896698614,459.80009236815863,266.01324460886764,69.50616987371978,10.249757769396465,345.7691722519839
CVR2307,ORF6,624405,89,6166,287,87,15,987.5001000952908,46.54557249432371,14.109633473889069,2.432695426532598,63.08790139474537,45.96375749713728,13.933264467773322,2.4022869772022966,62.299308942112894
CVR2307,ORF7a,624405,90|91,6620,8,3,10,1060.209319271947,14.776618633987175,2.413362528934684,1.6283992835043153,18.818380446426175,1.2812197211745582,0.4804573954404593,1.6015246514681978,3.363201768083215
CVR2307,ORF8,624405,92,2711,0,1,13,434.1733330130284,0,0.36886757654002217,4.795278495020288,5.164146071560309,0,0.16015246514681977,2.081982046908657,2.2421345120554768
CVR2307,N,624405,93,8537,2060,578,79,1367.2215949584004,241.30256530397094,67.70528288625981,9.253836242239661,318.2616844324704,329.91407820244876,92.56812485486184,12.652044746598763,435.1342478039094
CVR2307,N*,624405,95,3646,0,0,2,583.9158879253049,0,0,0.5485463521667581,0.5485463521667581,0,0,0.32030493029363954,0.32030493029363954
CVR2307,ORF10,624405,97|98,6838,0,0,14,1095.1225566739536,0,0,8.923005568629556,8.923005568629556,0,0,2.2421345120554768,2.2421345120554768
CVR2313,ORF1a,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,S,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,ORF3a,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,E,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,M,24,87,0,1,1,0,0.0,NA,NA,0,NA,4166.666666666667,4166.666666666667,0,8333.333333333334
CVR2313,ORF6,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,ORF7a,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,ORF8,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,N,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,N*,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2313,ORF10,24,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2319,ORF1a,381881,1|3,6743,3521,804,49,1765.7333043539743,34841.88527253809,7950.645606566076,485.1485148514851,43277.67939395565,922.0149732508295,210.53679025665065,12.831222291761046,1145.3829857992414
CVR2319,S,381881,71,456,38,15,0,119.40892581720483,83.33333333333333,32.89473684210526,0,116.22807017543859,9.950743818100403,3.9279251913554223,0,13.878669009455825
CVR2319,ORF3a,381881,84|85,3716,2,0,0,973.0780007384499,1.2244435306150423,0,0,1.2244435306150423,0.5237233588473896,0,0,0.5237233588473896
CVR2319,E,381881,87,2956,14,5,63,774.0631243764419,4.7361299052774015,1.6914749661705006,21.31258457374831,27.74018944519621,3.6660635119317275,1.309308397118474,16.497285803692773,21.472657712742972
CVR2319,M,381881,87,2956,772,186,20,774.0631243764419,261.16373477672533,62.92286874154263,6.7658998646820026,330.85250338295,202.1572165150924,48.706272372807234,5.237233588473896,256.1007224763735
CVR2319,ORF6,381881,89,840,108,30,3,219.96381071590363,128.57142857142858,35.714285714285715,3.5714285714285716,167.8571428571429,28.28106137775904,7.855850382710845,0.7855850382710844,36.92249679874097
CVR2319,ORF7a,381881,90,5378,3,1,3,1408.2921119406308,0.5578281889178133,0.1859427296392711,0.5578281889178133,1.3015991074748978,0.7855850382710844,0.2618616794236948,0.7855850382710844,1.8330317559658638
CVR2319,ORF8,381881,92,1516,0,0,1,396.9823060063213,0,0,0.6596306068601583,0.6596306068601583,0,0,0.2618616794236948,0.2618616794236948
CVR2319,N,381881,93,7799,976,251,23,2042.2592378253958,125.14424926272598,32.183613283754326,2.9490960379535838,160.27695858443388,255.57699911752613,65.7272815353474,6.02281862674498,327.32709927961855
CVR2319,N*,381881,,0,0,0,0,0,0,0,0,0,0,0,0,0
CVR2319,ORF10,381881,98,192,0,0,2,50.2774424493494,0,0,10.416666666666666,10.416666666666666,0,0,0.5237233588473896,0.5237233588473896
CVR2322,ORF1a,493661,1,131,2941,685,69,26.536428844895585,22450.381679389313,5229.007633587786,526.7175572519084,28206.106870229007,595.7529559758619,138.75918899811813,13.977202979372484,748.4893479533525
CVR2322,S,493661,71|73,5683,186,50,13,1151.1948482865773,301.01032462574034,81.30081300813008,21.13821138211382,403.44934901598424,37.67767759656931,10.128407956067019,2.6333860685774244,50.439471621213755
CVR2322,ORF3a,493661,84|85,7174,11,2,5,1453.2239735364956,3.0257578988238336,0.5840653078477649,1.7711654268508679,5.380988633522467,2.2282497503347436,0.4051363182426807,1.0128407956067018,3.6462268641841264
CVR2322,E,493661,87,3654,124,49,94,740.1840534293776,33.93541324575808,13.409961685823754,25.725232621784347,73.07060755336617,25.118451731046203,9.925839796945677,19.041406957405993,54.08569848539787
CVR2322,M,493661,87|88,9999,1892,440,52,2025.4790230542822,517.7887246852764,120.29991421040577,14.230979748221127,652.3196186439033,383.25895705757597,89.12999001338976,10.533544274309698,482.92249134527543
CVR2322,ORF6,493661,89|90,12735,298,113,10,2579.7055064102697,51.8312128596292,19.665854507483466,1.7403411068569439,73.23740847396961,60.36531141815943,22.89020198071146,2.0256815912134036,85.28119499008429
CVR2322,ORF7a,493661,90|91,7518,20,7,5,1522.9074202742368,37.80718336483932,11.48523699542976,0.7154099298898269,50.00783029015891,4.051363182426807,1.4179771138493826,1.0128407956067018,6.482181091882892
CVR2322,ORF8,493661,92|93,11360,3,3,3,2301.174287618426,0.8204275098115905,1.054481546572935,0.5863734730502462,2.4612825294347718,0.607704477364021,0.6077044773640211,0.607704477364021,1.823113432092063
CVR2322,N,493661,93|95,12858,3477,1026,104,2604.621389982194,408.4510424304389,120.49324721080445,12.213740458015266,541.1580300992587,704.3294892649004,207.8349312584952,21.067088548619395,933.231509072015
CVR2322,N*,493661,95,4343,0,0,1,879.7535150639811,0,0,0.23025558369790466,0.23025558369790466,0,0,0.20256815912134035,0.20256815912134035
CVR2322,ORF10,493661,97|98,7829,0,0,8,1585.9061177609738,0,0,3.4754414052520497,3.4754414052520497,0,0,1.6205452729707228,1.6205452729707228
