# Supplemental File S19 - ENA Accession Number to ID Used in Manuscript
# ENA Accession number conversion
# ena_accession: ENA accession number
# study_id: Sample ID used in this manuscript
ena_accession,study_id
ERS5552305,SHEF-C8444
ERS5552306,SHEF-C7FF9
ERS5552307,SHEF-CC853
ERS5552308,SHEF-CA345
ERS5552309,SHEF-CEC19
ERS5552310,SHEF-C9DFD
ERS5552311,SHEF-D3024
ERS5552312,SHEF-C22B9
ERS5552313,SHEF-C37B9
ERS5552314,SHEF-CF128
ERS5552315,SHEF-D14DF
ERS5552316,SHEF-D077D
ERS5552317,SHEF-C9FBB
ERS5552318,SHEF-C9AAB
ERS5552319,SHEF-C82FF
ERS5552320,SHEF-CCC39
ERS5552321,SHEF-C18F4
ERS5552322,SHEF-CD0C3
ERS5552323,SHEF-CB04D
ERS5552324,SHEF-C4BDA
ERS5552325,SHEF-C3E5A
ERS5552326,SHEF-D3051
ERS5552327,SHEF-C6200
ERS5552328,SHEF-CA284
ERS5552329,SHEF-CDFB7
ERS5552330,SHEF-C1663
ERS5552331,SHEF-C32A9
ERS5552332,SHEF-CC880
ERS5552333,SHEF-CD55B
ERS5552334,SHEF-CD49A
ERS5552335,SHEF-CB1B3
ERS5552336,SHEF-C2E4C
ERS5552337,SHEF-C8C5B
ERS5552338,SHEF-CDE23
ERS5552339,SHEF-C3F66
ERS5552340,SHEF-D15FA
ERS5552341,SHEF-D018E
ERS5552342,SHEF-D193A
ERS5552343,SHEF-C5A45
ERS5552344,SHEF-CAE53
ERS5552345,SHEF-C2D8B
ERS5552346,SHEF-D2B51
ERS5552347,SHEF-CB0B6
ERS5552348,SHEF-C6F72
ERS5552349,SHEF-CFCBE
ERS5552350,SHEF-CD02D
ERS5552351,SHEF-C68A4
ERS5552352,SHEF-C9935
ERS5552353,SHEF-C6C02
ERS5552354,SHEF-CD7EC
ERS5552355,SHEF-C09F2
ERS5552356,SHEF-D0B62
ERS5552357,SHEF-C3546
ERS5552358,SHEF-CAECC
ERS5552359,SHEF-C243B
ERS5552360,SHEF-C3E78
ERS5552361,SHEF-C6798
ERS5552362,SHEF-CB951
ERS5552363,SHEF-D2070
ERS5552364,SHEF-C4A91
ERS5552365,SHEF-CB46F
ERS5552366,SHEF-D21AA
ERS5552367,SHEF-CAC0E
ERS5552368,SHEF-C8329
ERS5552369,SHEF-C38B6
ERS5552370,SHEF-CC088
ERS5552371,SHEF-D0072
ERS5552372,SHEF-C5070
ERS5552373,SHEF-C616D
ERS5552374,SHEF-C2AA2
ERS5552375,SHEF-CABB6
ERS5552376,SHEF-CA846
ERS5552377,SHEF-CD791
ERS5552378,SHEF-C22AA
ERS5552379,SHEF-CBB1F
ERS5552380,SHEF-C4F0B
ERS5552381,SHEF-C291E
ERS5552382,SHEF-C342B
ERS5552383,SHEF-CA3EB
ERS5552384,SHEF-C12D8
ERS5552385,SHEF-CD9C8
ERS5552386,SHEF-C80D7
ERS5552387,SHEF-C12E7
ERS5552388,SHEF-C19E2
ERS5552389,SHEF-CBBE2
ERS5552390,SHEF-C3B35
ERS5552391,SHEF-C6929
ERS5552392,SHEF-D2BF7
ERS5552393,SHEF-CE9A9
ERS5552394,SHEF-C71B7
ERS5552395,SHEF-D1F74
ERS5552396,SHEF-CC422
ERS5552397,SHEF-C7B5F
ERS5552398,SHEF-CF44D
ERS5552399,SHEF-C5429
ERS5552400,SHEF-CF216
ERS5552401,SHEF-D20F8
ERS5552402,SHEF-D0CF6
ERS5552403,SHEF-C3379
ERS5552404,SHEF-C3B62
ERS5552405,SHEF-D0EB4
ERS5552406,SHEF-C5C5E
ERS5552407,SHEF-C3FDF
ERS5552408,SHEF-CBE9E
ERS5552409,SHEF-C76C7
ERS5552410,SHEF-CF7EA
ERS5552411,SHEF-C0ED5
ERS5552412,SHEF-CB687
ERS5552413,SHEF-CC0A6
ERS5552414,SHEF-D2C21
ERS5552415,SHEF-D0EC3
ERS5552416,SHEF-C831A
ERS5552417,SHEF-D3482
ERS5552418,SHEF-CD2CD
ERS5552419,SHEF-C394A
ERS5552420,SHEF-CE718
ERS5552421,SHEF-D08B6
ERS5552422,SHEF-C5A81
ERS5552423,SHEF-CD56A
ERS5552424,SHEF-C0BB0
ERS5552425,SHEF-CBC1C
ERS5552426,SHEF-CADED
ERS5552427,SHEF-C9DC0
ERS5552428,SHEF-D31B8
ERS5552429,SHEF-C9F24
ERS5552430,SHEF-CB432
ERS5552431,SHEF-C7515
ERS5552432,SHEF-C6DA5
ERS5552433,SHEF-C9B11
ERS5552434,SHEF-CC185
ERS5552435,SHEF-CC729
ERS5552436,SHEF-CE244
ERS5552437,SHEF-C691A
ERS5552438,SHEF-CA363
ERS5552439,SHEF-CA7B2
ERS5552440,SHEF-C8611
ERS5552441,SHEF-C3977
ERS5552442,SHEF-C47F4
ERS5552443,SHEF-C16FA
ERS5552444,SHEF-C8A06
ERS5552445,SHEF-C1E3E
ERS5552446,SHEF-D2957
ERS5552447,SHEF-D28E1
ERS5552448,SHEF-D0124
ERS5552449,SHEF-C17E8
ERS5552450,SHEF-CAAD7
ERS5552451,SHEF-C482E
ERS5552452,SHEF-C5650
ERS5552453,SHEF-C905E
ERS5552454,SHEF-CC54D
ERS5552455,SHEF-CD03C
ERS5552456,SHEF-CC862
ERS5552457,SHEF-CFAB4
ERS5552458,SHEF-C569C
ERS5552459,SHEF-C379B
ERS5552460,SHEF-CBB2E
ERS5552461,SHEF-D21D7
ERS5552462,SHEF-CBB5B
ERS5552463,SHEF-C6060
ERS5552464,SHEF-CD54C
ERS5552465,SHEF-C2565
ERS5552466,SHEF-C6E48
ERS5552467,SHEF-D0801
ERS5552468,SHEF-D1026
ERS5552469,SHEF-C8C6A
ERS5552470,SHEF-CA49D
ERS5552471,SHEF-C324F
ERS5552472,SHEF-C7A8F
ERS5552473,SHEF-C7C6B
ERS5552474,SHEF-C3BF9
ERS5552475,SHEF-C237A
ERS5552476,SHEF-C9249
ERS5552477,SHEF-D0DD5
ERS5552478,SHEF-C177F
ERS5552479,SHEF-C336A
ERS5552480,SHEF-C6EEE
ERS5552481,SHEF-D1F47
ERS5552482,SHEF-CEE04
ERS5552483,SHEF-C21DA
ERS5552484,SHEF-D1E3B
ERS5552485,SHEF-D130F
ERS5552486,SHEF-C9021
ERS5552487,SHEF-C31E8
ERS5552488,SHEF-D05A0
ERS5552489,SHEF-CB5F3
ERS5552490,SHEF-CB3AE
ERS5552491,SHEF-D1E68
ERS5552492,SHEF-C4132
ERS5552493,SHEF-CB5D5
ERS5552494,SHEF-D03C4
ERS5552495,SHEF-CE903
ERS5552496,SHEF-C84CC
ERS5552497,SHEF-C6C7B
ERS5552498,SHEF-CF8C9
ERS5552499,SHEF-CCD90
ERS5552500,SHEF-C9953
ERS5552501,SHEF-C2213
ERS5552502,SHEF-CF902
ERS5552503,SHEF-D17E5
ERS5552504,SHEF-C6859
ERS5552505,SHEF-CBBA6
ERS5552506,SHEF-D10CC
ERS5552507,SHEF-CFB48
ERS5552508,SHEF-CD403
ERS5552509,SHEF-C78EF
ERS5552510,SHEF-D30BB
ERS5552511,SHEF-C5F19
ERS5552512,SHEF-C2055
ERS5552513,SHEF-C4C13
ERS5552514,SHEF-D34A0
ERS5552515,SHEF-C6F36
ERS5552516,SHEF-C3300
ERS5552517,SHEF-C6464
ERS5552518,SHEF-CB414
ERS5552519,SHEF-C16AF
ERS5552520,SHEF-C6534
ERS5552521,SHEF-CC0C4
ERS5552522,SHEF-CB58A
ERS5552523,SHEF-CE2CC
ERS5552524,SHEF-C83A1
ERS5552525,SHEF-CE693
ERS5552526,SHEF-C6525
ERS5552527,SHEF-C5966
ERS5552528,SHEF-C9883
ERS5552529,SHEF-D2E58
ERS5552530,SHEF-C9A50
ERS5552531,SHEF-C4E95
ERS5552532,SHEF-D1475
ERS5552533,SHEF-C59C0
ERS5552534,SHEF-CFEE5
ERS5552535,SHEF-C821D
ERS5552536,SHEF-C28C6
ERS5552537,SHEF-C6D1E
ERS5552538,SHEF-C16DC
ERS5552539,SHEF-D307F
ERS5552540,SHEF-C3CC9
ERS5552541,SHEF-C911F
ERS5552542,SHEF-C15B1
ERS5552543,SHEF-C85F6
ERS5552544,SHEF-C46E8
ERS5552545,SHEF-C8523
ERS5552546,SHEF-C3458
ERS5552547,SHEF-CF234
ERS5552548,SHEF-CB9CA
ERS5552549,SHEF-CF8D8
ERS5552550,SHEF-CBCA3
ERS5552551,SHEF-C83ED
ERS5552552,SHEF-CD47C
ERS5552553,SHEF-C3115
ERS5552554,SHEF-C2C60
ERS5552555,SHEF-C668C
ERS5552556,SHEF-CF6A1
ERS5552557,SHEF-C90E5
ERS5552558,SHEF-C1F3B
ERS5552559,SHEF-CFE6D
ERS5552560,SHEF-C8374
ERS5552561,SHEF-CFB57
ERS5552562,SHEF-C7F9F
ERS5552563,SHEF-CE129
ERS5552564,SHEF-C0F69
ERS5552565,SHEF-D029A
ERS5552566,SHEF-C5D6A
ERS5552567,SHEF-C87F0
ERS5552568,SHEF-D2465
ERS5552569,SHEF-C8CE2
ERS5552570,SHEF-C0C35
ERS5552571,SHEF-C0E7B
ERS5552572,SHEF-C1CE9
ERS5552573,SHEF-CEA6A
ERS5552574,SHEF-D2702
ERS5552575,SHEF-CB353
ERS5552576,SHEF-D10F9
ERS5552577,SHEF-CCF4F
ERS5552578,SHEF-C3090
ERS5552579,SHEF-C9D39
ERS5552580,SHEF-CE0C2
ERS5552581,SHEF-C72B4
ERS5552582,SHEF-CA1C3
ERS5552583,SHEF-D0F84
ERS5552584,SHEF-C774C
ERS5552585,SHEF-C65F8
ERS5552586,SHEF-C830B
ERS5552587,SHEF-D1C31
ERS5552588,SHEF-C32C7
ERS5552589,SHEF-D1CD7
ERS5552590,SHEF-D2A54
ERS5552591,SHEF-C49C1
ERS5552592,SHEF-C30DC
ERS5552593,SHEF-C343A
ERS5552594,SHEF-D3358
ERS5552595,SHEF-C906D
ERS5552596,SHEF-C6367
ERS5552597,SHEF-C62A6
ERS5552598,SHEF-C393B
ERS5552599,SHEF-C7C98
ERS5552600,SHEF-CB854
ERS5552601,SHEF-C526B
ERS5552602,SHEF-CFF3D
ERS5552603,SHEF-C958C
ERS5552604,SHEF-C7418
ERS5552605,SHEF-D1536
ERS5552606,SHEF-CA65B
ERS5552607,SHEF-C1E4D
ERS5552608,SHEF-CC5A7
ERS5552609,SHEF-C13C6
ERS5552610,SHEF-C56BA
ERS5552611,SHEF-C3CF6
ERS5552612,SHEF-CB0F2
ERS5552613,SHEF-C3494
ERS5552614,SHEF-CAE9F
ERS5552615,SHEF-C6622
ERS5552616,SHEF-D2DC4
ERS5552617,SHEF-C0E11
ERS5552618,SHEF-CDCB0
ERS5552619,SHEF-D223E
ERS5552620,SHEF-D093B
ERS5552621,SHEF-D1080
ERS5552622,SHEF-CE60C
ERS5552623,SHEF-C3A56
ERS5552624,SHEF-CEC55
ERS5552625,SHEF-CD04B
ERS5552626,SHEF-C708D
ERS5552627,SHEF-C3DB7
ERS5552628,SHEF-CC45F
ERS5552629,SHEF-CD60D
ERS5552630,SHEF-C7FAE
ERS5552631,SHEF-D2DE2
ERS5552632,SHEF-C8F9E
ERS5552633,SHEF-D14FD
ERS5552634,SHEF-C0CEA
ERS5552635,SHEF-D1518
ERS5552636,SHEF-CF252
ERS5552637,SHEF-CA178
ERS5552638,SHEF-C69DE
ERS5552639,SHEF-C89EB
ERS5552640,SHEF-C2028
ERS5552641,SHEF-D0591
ERS5552642,SHEF-CE684
ERS5552643,SHEF-C440C
ERS5552644,SHEF-C8B8B
ERS5552645,SHEF-D23B3
ERS5552646,SHEF-C7A34
ERS5552647,SHEF-C52C5
ERS5552648,SHEF-CDE05
ERS5552649,SHEF-D2BD9
ERS5552650,SHEF-CFBEE
ERS5552651,SHEF-C7F17
ERS5552652,SHEF-C6DE1
ERS5552653,SHEF-C2E5B
ERS5552654,SHEF-CC431
ERS5552655,SHEF-CDA2F
ERS5552656,SHEF-CCB5A
ERS5552657,SHEF-C9D48
ERS5552658,SHEF-C192E
ERS5552659,SHEF-CFCAF
ERS5552660,SHEF-C196A
ERS5552661,SHEF-C2D03
ERS5552662,SHEF-CD6EF
ERS5552663,SHEF-C57B7
ERS5552664,SHEF-CB63C
ERS5552665,SHEF-D0CBA
ERS5552666,SHEF-C1E98
ERS5552667,SHEF-CC0F1
ERS5552668,SHEF-C77F1
ERS5552669,SHEF-C4800
ERS5552670,SHEF-D12D5
ERS5552671,SHEF-CAE71
ERS5552672,SHEF-C916A
ERS5552673,SHEF-C4396
ERS5552674,SHEF-C5395
ERS5552675,SHEF-C9F33
ERS5552676,SHEF-C8C79
ERS5552677,SHEF-CAB89
ERS5552678,SHEF-CDED8
ERS5552679,SHEF-CA21B
ERS5552680,SHEF-C3634
ERS5552681,SHEF-C5FDD
ERS5552682,SHEF-D174F
ERS5552683,SHEF-CEC0A
ERS5552684,SHEF-C9294
ERS5552685,SHEF-CC8AE
ERS5552686,SHEF-C9B02
ERS5552687,SHEF-C7700
ERS5552688,SHEF-C2C51
ERS5552689,SHEF-CE96D
ERS5552690,SHEF-D169D
ERS5552691,SHEF-C233E
ERS5552692,SHEF-CA1B4
ERS5552693,SHEF-C3133
ERS5552694,SHEF-C8338
ERS5552695,SHEF-C7991
ERS5552696,SHEF-C9ABA
ERS5552697,SHEF-D0731
ERS5552698,SHEF-C8963
ERS5552699,SHEF-C3212
ERS5552700,SHEF-C5B42
ERS5552701,SHEF-C1E10
ERS5552702,SHEF-C7937
ERS5552703,SHEF-CE4C6
ERS5552704,SHEF-C8A60
ERS5552705,SHEF-C79CE
ERS5552706,SHEF-C4FCF
ERS5552707,SHEF-C22C8
ERS5552708,SHEF-CF191
ERS5552709,SHEF-CB669
ERS5552710,SHEF-C608E
ERS5552711,SHEF-CA169
ERS5552712,SHEF-C6789
ERS5552713,SHEF-CFE21
ERS5552714,SHEF-C5DD3
ERS5552715,SHEF-D13D2
ERS5552716,SHEF-C76E5
ERS5552717,SHEF-C384D
ERS5552718,SHEF-D0C9C
ERS5552719,SHEF-CA697
ERS5552720,SHEF-D15DC
ERS5552721,SHEF-CDE32
ERS5552722,SHEF-C7ABC
ERS5552723,SHEF-CCDCD
ERS5552724,SHEF-C806E
ERS5552725,SHEF-C4CE6
ERS5552726,SHEF-CF911
ERS5552727,SHEF-C2F76
ERS5552728,SHEF-CCC93
ERS5552729,SHEF-CA70D
ERS5552730,SHEF-D259F
ERS5552731,SHEF-CCAB7
ERS5552732,SHEF-C3230
ERS5552733,SHEF-CDCCF
ERS5552734,SHEF-C4493
ERS5552735,SHEF-CD52E
ERS5552736,SHEF-C706F
ERS5552737,SHEF-D11D8
ERS5552738,SHEF-C3959
ERS5552739,SHEF-C7797
ERS5552740,SHEF-CD430
ERS5552741,SHEF-C8408
ERS5552742,SHEF-C522F
ERS5552743,SHEF-D08F2
ERS5552744,SHEF-D1053
ERS5552745,SHEF-CD2AF
ERS5552746,SHEF-C28F3
ERS5552747,SHEF-C8AE8
ERS5552748,SHEF-D1A55
ERS5552749,SHEF-CB1A4
ERS5552750,SHEF-C7788
ERS5552751,SHEF-D2C8B
ERS5552752,SHEF-C1812
ERS5552753,SHEF-D1FED
ERS5552754,SHEF-C9E36
ERS5552755,SHEF-CEB1C
ERS5552756,SHEF-CF067
ERS5552757,SHEF-D2869
ERS5552758,SHEF-CD3E8
ERS5552759,SHEF-CECEC
ERS5552760,SHEF-C45BE
ERS5552761,SHEF-C18E5
ERS5552762,SHEF-C2DB8
ERS5552763,SHEF-CE89D
ERS5552764,SHEF-C7BB9
ERS5552765,SHEF-CBF31
ERS5552766,SHEF-CA749
ERS5552767,SHEF-C67C5
ERS5552768,SHEF-D179A
ERS5552769,SHEF-C95AA
ERS5552770,SHEF-C715D
ERS5552771,SHEF-C11BD
ERS5552772,SHEF-CEDE9
ERS5552773,SHEF-C3485
ERS5552774,SHEF-C815C
ERS5552775,SHEF-CA6E2
ERS5552776,SHEF-C1B37
ERS5552777,SHEF-CC52F
ERS5552778,SHEF-C914C
ERS5552779,SHEF-C3F84
ERS5552780,SHEF-D33C1
ERS5552781,SHEF-D20CB
ERS5552782,SHEF-C319D
ERS5552783,SHEF-C1645
ERS5552784,SHEF-CD315
ERS5552785,SHEF-D1DE3
ERS5552786,SHEF-CF261
ERS5552787,SHEF-C9030
ERS5552788,SHEF-C69CF
ERS5552789,SHEF-CAAC8
ERS5552790,SHEF-C66D7
ERS5552791,SHEF-CC64A
ERS5552792,SHEF-C5D79
ERS5552793,SHEF-C49A3
ERS5552794,SHEF-C493A
ERS5552795,SHEF-CAF7E
ERS5552796,SHEF-CA1D2
ERS5552797,SHEF-D29B1
ERS5552798,SHEF-CE1B0
ERS5552799,SHEF-D0054
ERS5552800,SHEF-CCED9
ERS5552801,SHEF-CFA1E
ERS5552802,SHEF-CA7EF
ERS5552803,SHEF-C4581
ERS5552804,SHEF-CEA1F
ERS5552805,SHEF-CDAD4
ERS5552806,SHEF-C35BF
ERS5552807,SHEF-C2B45
ERS5552808,SHEF-CDDF9
ERS5552809,SHEF-C2F49
ERS5552810,SHEF-CA0D5
ERS5552811,SHEF-C757F
ERS5552812,SHEF-CED9E
ERS5552813,SHEF-CB247
ERS5552814,SHEF-D1E2C
ERS5552815,SHEF-C2310
ERS5552816,SHEF-CBEE9
ERS5552817,SHEF-C81D4
ERS5552818,SHEF-D2386
ERS5552819,SHEF-D275D
ERS5552820,SHEF-C8620
ERS5552821,SHEF-D227A
ERS5552822,SHEF-C1E01
ERS5552823,SHEF-CB3F9
ERS5552824,SHEF-C35CE
ERS5552825,SHEF-C3DF3
ERS5552826,SHEF-C72E1
ERS5552827,SHEF-D1E95
ERS5552828,SHEF-C0BA1
ERS5552829,SHEF-CDF5D
ERS5552830,SHEF-CCC75
ERS5552831,SHEF-CFEF4
ERS5552832,SHEF-C100B
ERS5552833,SHEF-C8DFE
ERS5552834,SHEF-CE860
ERS5552835,SHEF-C2222
ERS5552836,SHEF-C8532
ERS5552837,SHEF-C3160
ERS5552838,SHEF-C51E6
ERS5552839,SHEF-D0BBD
ERS5552840,SHEF-CD737
ERS5552841,SHEF-CAA9B
ERS5552842,SHEF-D1ACE
ERS5552843,SHEF-CACC2
ERS5552844,SHEF-C2D9A
ERS5552845,SHEF-D019D
ERS5552846,SHEF-CD89E
ERS5552847,SHEF-CC3BC
ERS5552848,SHEF-CD05A
ERS5552849,SHEF-C3036
ERS5552850,SHEF-C8C2E
ERS5552851,SHEF-C764F
ERS5552852,SHEF-CBFE6
ERS5552853,SHEF-D19C1
