sample,coverage
SHEF-C6C20,0.997
SHEF-C6C5D,0.956
SHEF-C6C7B,0.997
SHEF-C6D1E,0.98
SHEF-C6D4B,0.989
SHEF-C6D78,0.988
SHEF-C6DA5,0.989
SHEF-C6DC3,0.981
SHEF-C6DE1,0.972
SHEF-C6E48,0.989
SHEF-C6EEE,0.989
SHEF-C6F27,0.996
SHEF-C6F36,0.97
SHEF-C6F72,0.989
SHEF-C706F,0.971
SHEF-C707E,0.989
SHEF-C708D,0.97
SHEF-C70AB,0.969
SHEF-C7102,0.997
SHEF-C715D,0.98
SHEF-C71B7,0.962
SHEF-C721E,0.991
SHEF-C722D,0.988
SHEF-C724B,0.997
SHEF-C7296,0.997
SHEF-C72B4,0.981
SHEF-C72E1,0.987
SHEF-C7339,0.997
SHEF-C7409,0.997
SHEF-C7418,0.981
SHEF-C7454,0.997
SHEF-C7463,0.978
SHEF-C7515,0.981
SHEF-C7560,0.98
SHEF-C757F,0.987
SHEF-C759D,0.962
SHEF-C764F,0.972
SHEF-C769A,0.954
SHEF-C76C7,0.978
SHEF-C76D6,0.986
SHEF-C76E5,0.96
SHEF-C774C,0.98
SHEF-C7788,0.961
SHEF-C7797,0.978
SHEF-C77B5,0.98
SHEF-C77F1,0.98
SHEF-C7885,0.997
SHEF-C78B2,0.988
SHEF-C78EF,0.989
SHEF-C7928,0.997
SHEF-C7991,0.997
SHEF-C79A0,0.98
SHEF-C79EC,0.988
SHEF-C7A34,0.953
SHEF-C7A8F,0.989
SHEF-C7ABC,0.978
SHEF-C7AE9,0.989
SHEF-C7B31,0.997
SHEF-C7B40,0.989
SHEF-C7B5F,0.988
SHEF-C7B6E,0.989
SHEF-C7BB9,0.985
SHEF-C7C4D,0.962
SHEF-C7C98,0.968
SHEF-C7D77,0.989
SHEF-C7E74,0.962
SHEF-C7E92,0.989
SHEF-C7ECF,0.997
SHEF-C7EDE,0.997
SHEF-C7F08,0.962
SHEF-C7F17,0.962
SHEF-C7F26,0.997
SHEF-C7F35,0.982
SHEF-C7F9F,0.98
SHEF-C7FAE,0.989
SHEF-C7FBD,0.981
SHEF-C7FF9,0.988
SHEF-C8013,0.988
SHEF-C806E,0.961
SHEF-C80AA,0.99
SHEF-C80D7,0.98
SHEF-C815C,0.978
SHEF-C816B,0.959
SHEF-C817A,0.98
SHEF-C81E3,0.989
SHEF-C81F2,0.997
SHEF-C821D,0.989
SHEF-C822C,0.991
SHEF-C8286,0.997
SHEF-C82FF,0.971
SHEF-C830B,0.972
SHEF-C831A,0.98
SHEF-C8329,0.989
SHEF-C8374,0.98
SHEF-C8392,0.963
SHEF-C83A1,0.989
SHEF-C83FC,0.997
SHEF-C8408,0.971
SHEF-C8444,0.989
SHEF-C84DB,0.98
SHEF-C8514,0.997
SHEF-C8523,0.954
SHEF-C8532,0.997
SHEF-C85AB,0.98
SHEF-C85F6,0.989
SHEF-C8611,0.989
SHEF-C8620,0.979
SHEF-C867B,0.997
SHEF-C86A8,0.997
SHEF-C870F,0.997
SHEF-C8778,0.982
SHEF-C8787,0.988
SHEF-C87A5,0.997
SHEF-C87F0,0.98
SHEF-C8857,0.997
SHEF-C88A2,0.997
SHEF-C88C0,0.986
SHEF-C88DF,0.997
SHEF-C8936,0.984
SHEF-C8963,0.987
SHEF-C89EB,0.97
SHEF-C8A06,0.989
SHEF-C8A33,0.997
SHEF-C8A60,0.979
SHEF-C8AE8,0.987
SHEF-C8B8B,0.963
SHEF-C8C2E,0.997
SHEF-C8C5B,0.978
SHEF-C8C6A,0.953
SHEF-C8C79,0.981
SHEF-C8CB5,0.989
SHEF-C8CE2,0.98
SHEF-C8DD0,0.997
SHEF-C8DFE,0.987
SHEF-C8EEC,0.997
SHEF-C8F07,0.99
SHEF-C8F9E,0.951
SHEF-C8FBC,0.997
SHEF-C9021,0.954
SHEF-C9030,0.979
SHEF-C904F,0.982
SHEF-C905E,0.981
SHEF-C906D,0.98
SHEF-C908B,0.981
SHEF-C90E5,0.989
SHEF-C9100,0.997
SHEF-C911F,0.989
SHEF-C914C,0.991
SHEF-C916A,0.97
SHEF-C9249,0.989
SHEF-C9294,0.989
SHEF-C92D0,0.997
SHEF-C930A,0.995
SHEF-C9319,0.997
SHEF-C93EC,0.989
SHEF-C948F,0.997
SHEF-C9540,0.982
SHEF-C958C,0.953
SHEF-C95AA,0.98
SHEF-C95B9,0.997
SHEF-C96F2,0.98
SHEF-C9883,0.98
SHEF-C98DE,0.997
SHEF-C9935,0.997
SHEF-C999F,0.997
SHEF-C99BD,0.971
SHEF-C9A05,0.997
SHEF-C9A23,0.997
SHEF-C9A50,0.989
SHEF-C9AAB,0.971
SHEF-C9ABA,0.989
SHEF-C9AC9,0.988
SHEF-C9AD8,0.956
SHEF-C9B02,0.98
SHEF-C9B11,0.983
SHEF-C9CC3,0.988
SHEF-C9D39,0.989
SHEF-C9D48,0.952
SHEF-C9D84,0.988
SHEF-C9DC0,0.986
SHEF-C9DFD,0.997
SHEF-C9E36,0.997
SHEF-C9F24,0.961
SHEF-C9F33,0.954
SHEF-C9F51,0.989
SHEF-C9F9D,0.997
SHEF-C9FF7,0.997
SHEF-CA002,0.974
SHEF-CA020,0.997
SHEF-CA04E,0.989
SHEF-CA05D,0.997
SHEF-CA0B7,0.997
SHEF-CA0D5,0.963
SHEF-CA0F3,0.989
SHEF-CA10F,0.975
SHEF-CA14B,0.98
SHEF-CA169,0.987
SHEF-CA178,0.97
SHEF-CA1B4,0.972
SHEF-CA1C3,0.954
SHEF-CA1D2,0.95
SHEF-CA1F0,0.997
SHEF-CA21B,0.981
SHEF-CA266,0.997
SHEF-CA284,0.996
SHEF-CA2EE,0.988
SHEF-CA345,0.997
SHEF-CA354,0.997
SHEF-CA363,0.988
SHEF-CA3BE,0.997
SHEF-CA460,0.961
SHEF-CA49D,0.955
SHEF-CA4BB,0.997
SHEF-CA5C7,0.961
SHEF-CA65B,0.98
SHEF-CA697,0.987
SHEF-CA6A6,0.997
SHEF-CA6E2,0.986
SHEF-CA73A,0.977
SHEF-CA749,0.963
SHEF-CA7B2,0.974
SHEF-CA7EF,0.971
SHEF-CA828,0.997
SHEF-CA846,0.952
SHEF-CA873,0.989
SHEF-CA8A0,0.98
SHEF-CAA5F,0.997
SHEF-CAA8C,0.997
SHEF-CAA9B,0.979
SHEF-CAAC8,0.979
SHEF-CAB89,0.969
SHEF-CABB6,0.952
SHEF-CAC0E,0.988
SHEF-CAC2C,0.98
SHEF-CAC59,0.997
SHEF-CACC2,0.978
SHEF-CAD1A,0.997
SHEF-CAD56,0.972
SHEF-CADED,0.962
SHEF-CAE08,0.997
SHEF-CAE53,0.97
SHEF-CAE71,0.97
SHEF-CAE9F,0.955
SHEF-CAEAE,0.989
SHEF-CAECC,0.975
SHEF-CAF05,0.997
SHEF-CAF7E,0.987
SHEF-CAFBA,0.979
SHEF-CAFC9,0.989
SHEF-CB001,0.987
SHEF-CB04D,0.975
SHEF-CB0B6,0.978
SHEF-CB0E3,0.997
SHEF-CB10E,0.989
SHEF-CB159,0.996
SHEF-CB1A4,0.991
SHEF-CB1B3,0.989
SHEF-CB238,0.981
SHEF-CB247,0.97
SHEF-CB292,0.997
SHEF-CB2A1,0.989
SHEF-CB317,0.995
SHEF-CB3AE,0.982
SHEF-CB3F9,0.987
SHEF-CB414,0.963
SHEF-CB423,0.997
SHEF-CB432,0.989
SHEF-CB441,0.989
SHEF-CB46F,0.989
SHEF-CB49C,0.997
SHEF-CB502,0.997
SHEF-CB58A,0.98
SHEF-CB5B7,0.988
SHEF-CB5D5,0.977
SHEF-CB5E4,0.997
SHEF-CB5F3,0.988
SHEF-CB60F,0.989
SHEF-CB61E,0.997
SHEF-CB63C,0.972
SHEF-CB669,0.987
SHEF-CB678,0.988
SHEF-CB687,0.997
SHEF-CB739,0.997
SHEF-CB7C0,0.997
SHEF-CB7FD,0.978
SHEF-CB809,0.997
SHEF-CB854,0.955
SHEF-CB906,0.987
SHEF-CB933,0.997
SHEF-CB951,0.988
SHEF-CB9CA,0.98
SHEF-CBA03,0.997
SHEF-CBA6D,0.958
SHEF-CBAC7,0.997
SHEF-CBB1F,0.988
SHEF-CBB6A,0.997
SHEF-CBB88,0.98
SHEF-CBBA6,0.982
SHEF-CBBB5,0.988
SHEF-CBBE2,0.957
SHEF-CBC1C,0.98
SHEF-CBC58,0.987
SHEF-CBCA3,0.98
SHEF-CBEE9,0.987
SHEF-CBF22,0.997
SHEF-CBF31,0.995
SHEF-CBFE6,0.978
SHEF-CC000,0.961
SHEF-CC088,0.994
SHEF-CC097,0.989
SHEF-CC0A6,0.978
SHEF-CC0B5,0.953
SHEF-CC0C4,0.97
SHEF-CC0F1,0.97
SHEF-CC185,0.989
SHEF-CC1C1,0.997
SHEF-CC246,0.997
SHEF-CC361,0.989
SHEF-CC370,0.963
SHEF-CC3BC,0.988
SHEF-CC3DA,0.997
SHEF-CC422,0.98
SHEF-CC431,0.988
SHEF-CC440,0.997
SHEF-CC45F,0.97
SHEF-CC4AA,0.997
SHEF-CC52F,0.984
SHEF-CC54D,0.963
SHEF-CC5A7,0.981
SHEF-CC64A,0.987
SHEF-CC6E0,0.997
SHEF-CC747,0.997
SHEF-CC817,0.997
SHEF-CC853,0.988
SHEF-CC862,0.98
SHEF-CC880,0.997
SHEF-CC8AE,0.981
SHEF-CC8CC,0.988
SHEF-CC8DB,0.997
SHEF-CC923,0.997
SHEF-CCA6C,0.98
SHEF-CCA99,0.969
SHEF-CCAB7,0.985
SHEF-CCAC6,0.997
SHEF-CCAE4,0.997
SHEF-CCB5A,0.989
SHEF-CCBD2,0.98
SHEF-CCC2A,0.997
SHEF-CCC39,0.98
SHEF-CCC93,0.997
SHEF-CCCEE,0.997
SHEF-CCD90,0.989
SHEF-CCDBE,0.989
SHEF-CCDCD,0.979
SHEF-CCDFA,0.971
SHEF-CCE7F,0.997
SHEF-CCECA,0.997
SHEF-CCED9,0.962
SHEF-CCEE8,0.997
SHEF-CCF4F,0.989
SHEF-CCF8B,0.974
SHEF-CCFB8,0.997
SHEF-CD02D,0.989
SHEF-CD03C,0.989
SHEF-CD04B,0.963
SHEF-CD05A,0.997
SHEF-CD0C3,0.989
SHEF-CD184,0.98
SHEF-CD1DF,0.997
SHEF-CD245,0.997
SHEF-CD2CD,0.98
SHEF-CD315,0.997
SHEF-CD38E,0.997
SHEF-CD39D,0.983
SHEF-CD3CA,0.989
SHEF-CD3E8,0.988
SHEF-CD403,0.97
SHEF-CD412,0.98
SHEF-CD430,0.987
SHEF-CD47C,0.98
SHEF-CD49A,0.988
SHEF-CD500,0.997
SHEF-CD52E,0.997
SHEF-CD53D,0.989
SHEF-CD54C,0.981
SHEF-CD55B,0.997
SHEF-CD56A,0.989
SHEF-CD60D,0.954
SHEF-CD6B2,0.966
SHEF-CD6C1,0.987
SHEF-CD6EF,0.98
SHEF-CD737,0.997
SHEF-CD791,0.988
SHEF-CD7EC,0.988
SHEF-CD807,0.997
SHEF-CD89E,0.997
SHEF-CD8AD,0.987
SHEF-CD904,0.984
SHEF-CD95F,0.997
SHEF-CD96E,0.997
SHEF-CD9C8,0.997
SHEF-CDA2F,0.997
SHEF-CDA3E,0.997
SHEF-CDAD4,0.989
SHEF-CDB2C,0.989
SHEF-CDBE0,0.997
SHEF-CDC29,0.997
SHEF-CDC92,0.989
SHEF-CDCB0,0.981
SHEF-CDCCF,0.977
SHEF-CDD08,0.997
SHEF-CDD17,0.997
SHEF-CDD44,0.989
SHEF-CDDBD,0.989
SHEF-CDDF9,0.956
SHEF-CDE05,0.972
SHEF-CDE23,0.978
SHEF-CDE32,0.987
SHEF-CDE8D,0.997
SHEF-CDED8,0.975
SHEF-CDEE7,0.978
SHEF-CDF5D,0.971
SHEF-CDF8A,0.98
SHEF-CDFB7,0.989
SHEF-CE04A,0.997
SHEF-CE0C2,0.98
SHEF-CE0D1,0.997
SHEF-CE0FF,0.98
SHEF-CE129,0.954
SHEF-CE138,0.978
SHEF-CE1B0,0.978
SHEF-CE1DE,0.997
SHEF-CE235,0.956
SHEF-CE244,0.989
SHEF-CE2CC,0.963
SHEF-CE323,0.979
SHEF-CE36F,0.98
SHEF-CE4B7,0.988
SHEF-CE4C6,0.972
SHEF-CE4E4,0.952
SHEF-CE60C,0.953
SHEF-CE62A,0.997
SHEF-CE648,0.97
SHEF-CE684,0.962
SHEF-CE693,0.964
SHEF-CE6DF,0.961
SHEF-CE718,0.98
SHEF-CE806,0.964
SHEF-CE851,0.98
SHEF-CE89D,0.997
SHEF-CE8E8,0.99
SHEF-CE903,0.98
SHEF-CE930,0.982
SHEF-CE96D,0.963
SHEF-CE9A9,0.97
SHEF-CE9C7,0.989
SHEF-CEA1F,0.979
SHEF-CEA6A,0.963
SHEF-CEA79,0.952
SHEF-CEB1C,0.98
SHEF-CEBFE,0.989
SHEF-CEC0A,0.981
SHEF-CEC19,0.997
SHEF-CEC37,0.997
SHEF-CEC55,0.97
SHEF-CECEC,0.992
SHEF-CECFB,0.98
SHEF-CED25,0.997
SHEF-CED9E,0.997
SHEF-CEDE9,0.978
SHEF-CEE04,0.98
SHEF-CEE31,0.989
SHEF-CEE7D,0.989
SHEF-CEE8C,0.997
SHEF-CF067,0.969
SHEF-CF085,0.981
SHEF-CF094,0.997
SHEF-CF0EF,0.953
SHEF-CF10A,0.988
SHEF-CF128,0.988
SHEF-CF191,0.978
SHEF-CF216,0.989
SHEF-CF234,0.968
SHEF-CF252,0.97
SHEF-CF261,0.978
SHEF-CF322,0.98
SHEF-CF340,0.997
SHEF-CF39B,0.997
SHEF-CF44D,0.988
SHEF-CF498,0.997
SHEF-CF53B,0.989
SHEF-CF595,0.997
SHEF-CF647,0.961
SHEF-CF6A1,0.954
SHEF-CF6ED,0.997
SHEF-CF717,0.969
SHEF-CF7DB,0.989
SHEF-CF7EA,0.989
SHEF-CF86F,0.997
SHEF-CF8AB,0.967
SHEF-CF8BA,0.997
SHEF-CF8D8,0.98
SHEF-CF902,0.989
SHEF-CF911,0.978
SHEF-CF93F,0.989
SHEF-CFA1E,0.987
SHEF-CFA4B,0.988
SHEF-CFAB4,0.989
SHEF-CFB48,0.989
SHEF-CFB57,0.954
SHEF-CFBEE,0.969
SHEF-CFCAF,0.962
SHEF-CFCBE,0.989
SHEF-CFCFA,0.961
SHEF-CFD42,0.997
SHEF-CFDAC,0.997
SHEF-CFDBB,0.997
SHEF-CFDCA,0.978
SHEF-CFDD9,0.952
SHEF-CFE21,0.996
SHEF-CFE5E,0.997
SHEF-CFE6D,0.963
SHEF-CFEB8,0.979
SHEF-CFEE5,0.989
SHEF-CFEF4,0.979
SHEF-CFF3D,0.955
SHEF-CFFF1,0.997
SHEF-D0054,0.962
SHEF-D0072,0.956
SHEF-D00EB,0.954
SHEF-D0124,0.989
