# Supplemental File S5 - Canonical Sub-Genomic RNA Counts From In Vitro Illumina Metagenomic Data
# Canonical ORF counts of sub-genomic RNA from an in vitro model of SARS-CoV-2 infection assayed using Illumina metaganomic methods
# mapped_reads: Total mapped reads
# amplicons: The amplicon(s) that gave rise to the sub-genomic RNA
# sgRNA_count: The number of sub-genomic reads at this ORF
# coverage: Average coverage in a wiondow around ORF start site
# sgRPTL: Sub-genomic reads per thousand around ORF start site (coverage)
# sgRPHT: Sub-genomic reads per hundred thousand mapped reads
sample,mapped_reads,orf,sgRNA_count,coverage,sgRPTL,sgRPHT
VAT_GLA2_72_S113,2693851,ORF6,99,3159.5,31.334071846811206,0.3675036221379727
VAT_GLA2_72_S113,2693851,ORF7a,1662,3907.0,425.39032505758894,6.169606262558693
VAT_GLA2_72_S113,2693851,ORF8,305,4912.0,62.0928338762215,1.1322081288089059
VAT_GLA2_72_S113,2693851,N,5429,7919.5,685.5230759517647,20.153304692798525
VAT_GLA1_24_S18,1298216,S,495,3087.0,160.34985422740525,3.8129248137444005
VAT_GLA1_24_S18,1298216,ORF3a,437,2722.0,160.54371785451875,3.366157865871319
VAT_GLA1_24_S18,1298216,E,62,2940.0,21.08843537414966,0.4775784615195006
VAT_GLA1_24_S18,1298216,M,463,1558.0,297.175866495507,3.566432704573045
VAT_GLA1_24_S18,1298216,ORF6,48,1856.5,25.855103689738755,0.3697381637570328
VAT_GLA1_24_S18,1298216,ORF7a,1058,3490.0,303.15186246418335,8.14964535947793
VAT_GLA1_24_S18,1298216,ORF8,185,4507.5,41.042706600110925,1.4250325061468971
VAT_GLA1_24_S18,1298216,N,2547,4678.5,544.4052580955434,19.61923131435755
VAT_GLA1_48_S50,683813,ORF1a,1,2586.0,0.3866976024748647,0.01462388109029808
VAT_GLA1_48_S50,683813,S,407,2879.0,141.36853073984022,5.9519196037513185
VAT_GLA1_48_S50,683813,ORF3a,877,1405.5,623.977232301672,12.825143716191416
VAT_GLA1_48_S50,683813,E,74,1597.0,46.33688165309956,1.082167200682058
VAT_GLA1_48_S50,683813,M,63,341.5,184.4802342606149,0.921304508688779
VAT_GLA1_48_S50,683813,ORF6,37,1898.0,19.494204425711278,0.541083600341029
VAT_GLA1_48_S50,683813,ORF7a,1342,761.0,1763.4691195795006,19.62524842318002
VAT_GLA1_48_S50,683813,ORF8,154,2842.0,54.1871921182266,2.252077687905904
VAT_GLA1_48_S50,683813,N,5720,4941.0,1157.6603926330702,83.64859983650501
VAT_GLA1_72_S98,2650067,S,1020,3643.0,279.9890200384299,3.8489592904632217
VAT_GLA1_72_S98,2650067,ORF3a,1510,4072.0,370.82514734774065,5.69796914568575
VAT_GLA1_72_S98,2650067,E,98,3393.0,28.88299440023578,0.36980197104450563
VAT_GLA1_72_S98,2650067,M,591,1622.0,364.3649815043156,2.230132294768396
VAT_GLA1_72_S98,2650067,ORF6,76,3243.0,23.43509096515572,0.2867852020345146
VAT_GLA1_72_S98,2650067,ORF7a,2230,3861.0,577.5705775705775,8.414881586012731
VAT_GLA1_72_S98,2650067,ORF8,476,4890.0,97.34151329243355,1.7961810022161702
VAT_GLA1_72_S98,2650067,N,7880,7939.0,992.5683335432674,29.735097263578616
VAT_PHE2_24_S9,1058909,ORF1a,1,3554.0,0.28137310073157007,0.009443682129436996
VAT_PHE2_24_S9,1058909,S,532,3192.0,166.66666666666666,5.0240388928604816
VAT_PHE2_24_S9,1058909,ORF3a,538,2205.5,243.93561550668784,5.080700985637104
VAT_PHE2_24_S9,1058909,E,94,2436.0,38.58784893267652,0.8877061201670776
VAT_PHE2_24_S9,1058909,M,566,1642.0,344.7015834348356,5.3451240852613395
VAT_PHE2_24_S9,1058909,ORF6,47,1817.5,25.859697386519947,0.4438530600835388
VAT_PHE2_24_S9,1058909,ORF7a,1888,2952.0,639.5663956639567,17.829671860377047
VAT_PHE2_24_S9,1058909,ORF8,247,4493.5,54.96828752642706,2.332589485970938
VAT_PHE2_24_S9,1058909,N,3011,3241.5,928.8909455498998,28.434926891734793
VAT_PHE2_48_S57,1064624,S,546,3024.5,180.52570672838485,5.12857121387457
VAT_PHE2_48_S57,1064624,ORF3a,1790,2524.0,709.1917591125198,16.813447752445935
VAT_PHE2_48_S57,1064624,E,209,2624.0,79.64939024390243,1.9631344023805588
VAT_PHE2_48_S57,1064624,M,612,1230.5,497.3587972368956,5.748508393573694
VAT_PHE2_48_S57,1064624,ORF6,90,2377.0,37.862852334875896,0.8453688814078961
VAT_PHE2_48_S57,1064624,ORF7a,4233,1613.0,2624.302541847489,39.76051638888471
VAT_PHE2_48_S57,1064624,ORF8,504,3605.0,139.80582524271844,4.734065735884218
VAT_PHE2_48_S57,1064624,N,8690,4452.5,1951.7125210555869,81.62506199371796
VAT_PHE2_48_S57,1064624,N*,1,3719.0,0.26888948642108096,0.009392987571198845
VAT_PHE2_48_S57,1064624,ORF10,1,3759.0,0.26602819898909286,0.009392987571198845
VAT_PHE2_72_S89,2474965,ORF1a,2,3750.0,0.5333333333333333,0.008080922356477768
VAT_PHE2_72_S89,2474965,S,663,3345.5,198.17665520848902,2.67882576117238
VAT_PHE2_72_S89,2474965,ORF3a,1188,4076.5,291.4264687844965,4.800067879747794
VAT_PHE2_72_S89,2474965,E,162,3420.0,47.36842105263158,0.6545547108746993
VAT_PHE2_72_S89,2474965,M,1128,2598.0,434.18013856812934,4.557640209053462
VAT_PHE2_72_S89,2474965,ORF6,72,3120.0,23.076923076923077,0.29091320483319966
VAT_PHE2_72_S89,2474965,ORF7a,2319,4186.5,553.9233249731279,9.369829472335972
VAT_PHE2_72_S89,2474965,ORF8,647,5224.0,123.85145482388974,2.614178382320558
VAT_PHE2_72_S89,2474965,N,5863,7910.5,741.1668036154479,23.689223888014578
V_GLA1_24_S10,112136,S,47,526.5,89.2687559354226,4.191339088249983
V_GLA1_24_S10,112136,ORF3a,34,244.0,139.34426229508196,3.0320325319255192
V_GLA1_24_S10,112136,E,6,266.0,22.55639097744361,0.5350645644574445
V_GLA1_24_S10,112136,M,46,139.0,330.9352517985611,4.102161660840408
V_GLA1_24_S10,112136,ORF6,2,151.0,13.245033112582782,0.17835485481914817
V_GLA1_24_S10,112136,ORF7a,61,189.0,322.75132275132273,5.439823071984019
V_GLA1_24_S10,112136,ORF8,17,567.0,29.982363315696652,1.5160162659627596
V_GLA1_24_S10,112136,N,271,1045.0,259.3301435406699,24.16708282799458
V_GLA1_48_S58,3219747,ORF1a,1,4451.0,0.22466861379465292,0.0031058340919333104
V_GLA1_48_S58,3219747,S,994,3444.0,288.6178861788618,3.087199087381711
V_GLA1_48_S58,3219747,ORF3a,1429,4512.0,316.7109929078014,4.4382369173727
V_GLA1_48_S58,3219747,E,96,3443.0,27.882660470519895,0.2981600728255978
V_GLA1_48_S58,3219747,M,1624,3301.0,491.9721296576795,5.043874565299697
V_GLA1_48_S58,3219747,ORF6,134,3679.0,36.422941016580594,0.4161817683190636
V_GLA1_48_S58,3219747,ORF7a,1893,3852.0,491.4330218068536,5.879343936029756
V_GLA1_48_S58,3219747,ORF8,488,5267.0,92.65236377444465,1.5156470368634556
V_GLA1_48_S58,3219747,N,5181,7964.0,650.5524861878453,16.09132643030648
V_GLA1_72_S90,1043577,ORF1a,1,2024.0,0.49407114624505927,0.009582426596216666
V_GLA1_72_S90,1043577,S,1192,3821.0,311.9602198377388,11.422252502690267
V_GLA1_72_S90,1043577,ORF3a,2384,3096.0,770.0258397932816,22.844505005380533
V_GLA1_72_S90,1043577,E,175,3366.0,51.99049316696375,1.6769246543379166
V_GLA1_72_S90,1043577,M,1157,1738.0,665.7077100115075,11.086867571822683
V_GLA1_72_S90,1043577,ORF6,249,2336.0,106.59246575342466,2.38602422245795
V_GLA1_72_S90,1043577,ORF7a,4224,2267.0,1863.2554036171152,40.4761699424192
V_GLA1_72_S90,1043577,ORF8,578,4092.0,141.25122189638319,5.538642572613234
V_GLA1_72_S90,1043577,N,9698,4471.5,2168.8471430168847,92.93037313010923
V_GLA1_72_S90,1043577,ORF10,3,4424.0,0.6781193490054249,0.02874727978865
V_PHE2_24_S1,177551,S,47,781.0,60.179257362355955,2.6471267410490507
V_PHE2_24_S1,177551,ORF3a,67,373.0,179.62466487935657,3.7735636521337534
V_PHE2_24_S1,177551,E,8,515.0,15.533980582524272,0.450574764433881
V_PHE2_24_S1,177551,M,72,257.5,279.6116504854369,4.055172879904929
V_PHE2_24_S1,177551,ORF6,3,223.0,13.452914798206278,0.16896553666270536
V_PHE2_24_S1,177551,ORF7a,108,399.0,270.6766917293233,6.082759319857393
V_PHE2_24_S1,177551,ORF8,20,935.0,21.390374331550802,1.1264369110847026
V_PHE2_24_S1,177551,N,241,1448.0,166.4364640883978,13.573564778570665
V_PHE2_48_S41,2064551,ORF1a,1,3090.0,0.3236245954692557,0.004843668187417023
V_PHE2_48_S41,2064551,S,497,2913.5,170.5852067959499,2.40730308914626
V_PHE2_48_S41,2064551,ORF3a,1063,4062.5,261.66153846153844,5.148819283224294
V_PHE2_48_S41,2064551,E,104,3125.0,33.28,0.5037414914913703
V_PHE2_48_S41,2064551,M,453,1515.0,299.009900990099,2.1941816888999113
V_PHE2_48_S41,2064551,ORF6,55,2717.0,20.242914979757085,0.2664017503079362
V_PHE2_48_S41,2064551,ORF7a,2457,2977.0,825.3275109170306,11.900892736483623
V_PHE2_48_S41,2064551,ORF8,400,4219.5,94.79796184382036,1.937467274966809
V_PHE2_48_S41,2064551,N,6783,7947.0,853.5296338240845,32.85460131524966
V_PHE2_72_S81,875529,S,788,3564.0,221.09988776655442,9.00027297782255
V_PHE2_72_S81,875529,ORF3a,2171,2362.0,919.1363251481795,24.796437353874058
V_PHE2_72_S81,875529,E,211,2106.5,100.16615238547354,2.4099715714727896
V_PHE2_72_S81,875529,M,1503,1336.0,1125.0,17.16676432191281
V_PHE2_72_S81,875529,ORF6,191,1837.0,103.97387044093631,2.181538247162573
V_PHE2_72_S81,875529,ORF7a,6073,1827.0,3324.0284619594963,69.36377892679741
V_PHE2_72_S81,875529,ORF8,946,3889.0,243.25019285163282,10.804896239873266
V_PHE2_72_S81,875529,N,10865,4941.0,2198.947581461243,124.0964034315254
V_PHE2_72_S81,875529,ORF10,1,4449.0,0.22476961114857272,0.011421666215510853
